Price,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN
datetime,,,,,
2024-07-29 00:00:00+00:00,183.1999969482422,184.75,182.3800048828125,183.83999633789062,33270100
2024-07-30 00:00:00+00:00,181.7100067138672,185.86000061035156,179.3800048828125,184.72000122070312,39508600
2024-07-31 00:00:00+00:00,186.97999572753906,187.94000244140625,184.4600067138672,185.0500030517578,41667300
2024-08-01 00:00:00+00:00,184.07000732421875,190.60000610351562,181.8699951171875,189.2899932861328,70435600
2024-08-02 00:00:00+00:00,167.89999389648438,168.77000427246094,160.5500030517578,166.75,141448400
2024-08-05 00:00:00+00:00,161.02000427246094,162.9600067138672,151.61000061035156,154.2100067138672,83149400
2024-08-06 00:00:00+00:00,161.92999267578125,165.0800018310547,158.5399932861328,161.7100067138672,59950800
2024-08-07 00:00:00+00:00,162.77000427246094,167.5800018310547,161.42999267578125,166.5500030517578,48408200
2024-08-08 00:00:00+00:00,165.8000030517578,166.69000244140625,162.5500030517578,165.1699981689453,44616200
2024-08-09 00:00:00+00:00,166.94000244140625,168.5500030517578,165.85000610351562,166.39999389648438,36401000
2024-08-12 00:00:00+00:00,166.8000030517578,168.5500030517578,166.11000061035156,168.13999938964844,30072800
2024-08-13 00:00:00+00:00,170.22999572753906,171.0399932861328,167.10000610351562,167.80999755859375,39237900
2024-08-14 00:00:00+00:00,170.10000610351562,172.27999877929688,168.86000061035156,172.11000061035156,28843800
2024-08-15 00:00:00+00:00,177.58999633789062,177.91000366210938,173.99000549316406,174.86000061035156,51698500
2024-08-16 00:00:00+00:00,177.05999755859375,178.33999633789062,176.25999450683594,177.0399932861328,31489200
2024-08-19 00:00:00+00:00,178.22000122070312,178.3000030517578,176.16000366210938,177.63999938964844,31129800
2024-08-20 00:00:00+00:00,178.8800048828125,179.00999450683594,177.42999267578125,177.9199981689453,26255200
2024-08-21 00:00:00+00:00,180.11000061035156,182.38999938964844,178.88999938964844,179.9199981689453,35599100
2024-08-22 00:00:00+00:00,176.1300048828125,181.47000122070312,175.67999267578125,181.3800048828125,32047500
2024-08-23 00:00:00+00:00,177.0399932861328,178.97000122070312,175.24000549316406,177.33999633789062,29150100
2024-08-26 00:00:00+00:00,175.5,177.47000122070312,174.3000030517578,176.6999969482422,22366200
2024-08-27 00:00:00+00:00,173.1199951171875,174.88999938964844,172.25,174.14999389648438,29842000
2024-08-28 00:00:00+00:00,170.8000030517578,173.69000244140625,168.9199981689453,173.69000244140625,29045000
2024-08-29 00:00:00+00:00,172.1199951171875,174.2899932861328,170.80999755859375,173.22000122070312,26407800
2024-08-30 00:00:00+00:00,178.5,178.89999389648438,172.60000610351562,172.77999877929688,43429400
2024-09-03 00:00:00+00:00,176.25,178.25999450683594,175.25999450683594,177.5500030517578,37817500
2024-09-04 00:00:00+00:00,173.3300018310547,175.97999572753906,172.5399932861328,174.47999572753906,30309200
2024-09-05 00:00:00+00:00,177.88999938964844,179.8800048828125,175.0,175.0,40170500
2024-09-06 00:00:00+00:00,171.38999938964844,178.3800048828125,171.16000366210938,177.24000549316406,41466500
2024-09-09 00:00:00+00:00,175.39999389648438,175.85000610351562,173.50999450683594,174.52999877929688,29037400
2024-09-10 00:00:00+00:00,179.5500030517578,180.5,176.7899932861328,177.49000549316406,36233800
2024-09-11 00:00:00+00:00,184.52000427246094,184.99000549316406,175.72999572753906,180.10000610351562,42564700
2024-09-12 00:00:00+00:00,187.0,187.41000366210938,183.5399932861328,184.8000030517578,33544200
2024-09-13 00:00:00+00:00,186.49000549316406,188.5,185.91000366210938,187.0,26495400
2024-09-16 00:00:00+00:00,184.88999938964844,185.80999755859375,183.36000061035156,185.2899932861328,26065500
