Price,Close,High,Low,Open,Volume
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN
datetime,,,,,
2024-09-16 00:00:00+00:00,82988.78125,83184.34375,82832.8203125,82985.328125,6900
2024-09-17 00:00:00+00:00,83079.65625,83152.40625,82866.6796875,83084.6328125,9800
2024-09-18 00:00:00+00:00,82948.2265625,83326.3828125,82700.6328125,83037.1328125,5100
2024-09-19 00:00:00+00:00,83184.796875,83773.609375,83071.65625,83359.171875,6600
2024-09-20 00:00:00+00:00,84544.3125,84694.4609375,83187.640625,83603.0390625,28700
2024-09-23 00:00:00+00:00,84928.609375,84980.53125,84607.3828125,84651.1484375,11100
2024-09-24 00:00:00+00:00,84914.0390625,85163.2265625,84716.0703125,84860.7265625,8700
2024-09-25 00:00:00+00:00,85169.8671875,85247.421875,84743.0390625,84836.453125,13500
2024-09-26 00:00:00+00:00,85836.1171875,85930.4296875,85106.7421875,85167.5625,9100
2024-09-27 00:00:00+00:00,85571.8515625,85978.25,85474.578125,85893.84375,9400
2024-09-30 00:00:00+00:00,84299.78125,85359.6484375,84257.140625,85208.7578125,11000
2024-10-01 00:00:00+00:00,84266.2890625,84648.3984375,84098.9375,84257.171875,6000
2024-10-03 00:00:00+00:00,82497.1015625,83752.8125,82434.0234375,83002.09375,19700
2024-10-04 00:00:00+00:00,81688.453125,83368.3203125,81532.6796875,82244.25,19200
2024-10-07 00:00:00+00:00,81050.0,82137.7734375,80726.0625,81926.9921875,17700
2024-10-08 00:00:00+00:00,81634.8125,81763.28125,80813.0703125,80826.5625,7200
2024-10-09 00:00:00+00:00,81467.1015625,82319.2109375,81342.890625,81954.578125,7500
2024-10-10 00:00:00+00:00,81611.40625,82002.84375,81538.9375,81832.65625,7600
2024-10-11 00:00:00+00:00,81381.359375,81671.3828125,81304.1484375,81478.4921875,8700
2024-10-14 00:00:00+00:00,81973.046875,82072.171875,81541.203125,81576.9296875,7700
2024-10-15 00:00:00+00:00,81820.1171875,82300.4375,81635.5703125,82101.859375,5500
2024-10-16 00:00:00+00:00,81501.359375,81932.1484375,81358.2578125,81646.6015625,5600
2024-10-17 00:00:00+00:00,81006.609375,81781.3984375,80905.640625,81758.0703125,6800
2024-10-18 00:00:00+00:00,81224.75,81391.1484375,80409.25,80749.2578125,9300
2024-10-21 00:00:00+00:00,81151.2734375,81770.0234375,80811.2265625,81770.0234375,7600
2024-10-22 00:00:00+00:00,80220.71875,81504.2421875,80149.53125,81155.078125,5600
2024-10-23 00:00:00+00:00,80081.9765625,80646.3125,79891.6796875,79921.1328125,6200
2024-10-24 00:00:00+00:00,80065.15625,80259.8203125,79813.0234375,80098.296875,4800
2024-10-25 00:00:00+00:00,79402.2890625,80253.1875,79137.9765625,80187.34375,13900
2024-10-28 00:00:00+00:00,80005.0390625,80539.8125,79418.8203125,79653.671875,10800
2024-10-29 00:00:00+00:00,80369.03125,80450.4765625,79421.3515625,80037.203125,9600
2024-10-30 00:00:00+00:00,79942.1796875,80435.609375,79821.9921875,80237.8515625,5900
2024-10-31 00:00:00+00:00,79389.0625,80044.953125,79287.9296875,80044.953125,9300
2024-11-01 00:00:00+00:00,79724.1171875,80023.75,79655.546875,80023.75,2300
2024-11-04 00:00:00+00:00,78782.2421875,79713.140625,78232.6015625,79713.140625,9500
2024-11-05 00:00:00+00:00,79476.6328125,79523.1328125,78296.703125,78542.15625,8600
2024-11-06 00:00:00+00:00,80378.1328125,80569.7265625,79459.1171875,79771.8203125,20200
2024-11-07 00:00:00+00:00,79541.7890625,80563.421875,79419.34375,80563.421875,8200
2024-11-08 00:00:00+00:00,79486.3203125,79807.2578125,79117.3671875,79611.8984375,10300
2024-11-11 00:00:00+00:00,79496.1484375,80102.140625,79001.34375,79298.4609375,16900
2024-11-12 00:00:00+00:00,78675.1796875,79820.9765625,78547.84375,79644.953125,6400
2024-11-13 00:00:00+00:00,77690.953125,78690.0234375,77533.296875,78495.53125,7400
2024-11-14 00:00:00+00:00,77580.3125,78055.5234375,77424.8125,77636.9375,10100
2024-11-18 00:00:00+00:00,77339.0078125,77886.96875,76965.0625,77863.5390625,8200
2024-11-19 00:00:00+00:00,77578.3828125,78451.6484375,77411.3125,77548.0,7200
2024-11-21 00:00:00+00:00,77155.7890625,77711.109375,76802.7265625,77711.109375,8800
2024-11-22 00:00:00+00:00,79117.109375,79218.1875,77226.6875,77349.7421875,17100
2024-11-25 00:00:00+00:00,80109.8515625,80473.078125,79765.9921875,80193.46875,14000
2024-11-26 00:00:00+00:00,80004.0625,80482.359375,79798.671875,80415.46875,10400
2024-11-27 00:00:00+00:00,80234.078125,80511.1484375,79844.4921875,80121.03125,5700
2024-11-28 00:00:00+00:00,79043.7421875,80447.3984375,78918.921875,80281.640625,7900
2024-11-29 00:00:00+00:00,79802.7890625,79923.8984375,79026.1796875,79032.9921875,8900
2024-12-02 00:00:00+00:00,80248.078125,80337.8203125,79308.953125,79743.8671875,7300
2024-12-03 00:00:00+00:00,80845.75,80949.1015625,80244.78125,80529.203125,9400
2024-12-04 00:00:00+00:00,80956.328125,81245.390625,80630.53125,81036.21875,7200
2024-12-05 00:00:00+00:00,81765.859375,82317.7421875,80467.3671875,81182.7421875,7500
2024-12-06 00:00:00+00:00,81709.1171875,81925.90625,81506.1875,81887.5390625,8800
2024-12-09 00:00:00+00:00,81508.4609375,81783.28125,81411.546875,81602.578125,6400
2024-12-10 00:00:00+00:00,81510.046875,81726.34375,81182.6875,81575.9609375,5600
2024-12-11 00:00:00+00:00,81526.140625,81742.3671875,81383.421875,81568.390625,6300
2024-12-12 00:00:00+00:00,81289.9609375,81680.96875,81211.640625,81476.7578125,7800
2024-12-13 00:00:00+00:00,82133.1171875,82213.921875,80082.8203125,81212.453125,11300
2024-12-16 00:00:00+00:00,81748.5703125,82116.4375,81551.28125,82000.3125,5200
2024-12-17 00:00:00+00:00,80684.453125,81613.640625,80612.203125,81511.8125,4900
2024-12-18 00:00:00+00:00,80182.203125,80868.0234375,80050.0703125,80666.2578125,4700
2024-12-19 00:00:00+00:00,79218.046875,79516.171875,79020.078125,79029.03125,6500
2024-12-20 00:00:00+00:00,78041.59375,79587.1484375,77874.59375,79335.4765625,9000
2024-12-23 00:00:00+00:00,78540.171875,78918.1171875,78189.1875,78488.640625,10300
